zho,eng,zho_reverse,zho_eng_jaccard,eng_zho_jaccard,zh_nsubjs,en_nsubjs,rev_nsubjs
"刺激与奖赏并存，让人又“痛”又“快”，这便是吃辛辣令人上瘾的原因
","The fact that the stimulus and reward go hand in hand, making people sick and tired and tired is why eating cinnamon is addictive.","刺激和奖励是相伴的,让人们生病,疲和疲,",0.5384615384615384,0.4166666666666667,2,3,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  对于在线培训机构的虚假宣传、违规经营，大家不要轻信盲从，应该第一时间向有关部门举报
",The report on the false propaganda and illegal operations of online training institutions should be reported to the relevant authorities first.,关于网络培训机构虚假宣传和非法运营的报告应首先向有关当局报告.,0.125,0.4166666666666667,1,0,2
"相关部门和平台必须加强监管，对非法行为坚决查处
",The relevant authorities and platforms must strengthen the regulation and firmly investigate illegal acts.,"相关当局和平台必须加强该法规,并严格调查非法行为.",1.0,1.0,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  突出产业链供应链安全指向，近日印发的铜产业高质量发展实施方案明确增强铜原料保障能力；防止低水平重复建设，新推出的新型储能制造业高质量发展行动方案在多方面考虑可持续发展因素……牢牢把握产业特点，在国家发展大局中谋划推进，一项项新部署凝聚推动新旧动能平稳接续转换的合力
","Highlighting the industrial chain supply chain security direction, the recent implementation of high quality development of copper industry in Japan, clearly enhancing copper raw material security capacity; preventing low-level rebuilding, newly launched new types of energy storage manufacturing high quality development action plans considering sustainability factors in many ways ... firmly grasp the characteristics of the industry, plan for advancement in the National Development Agency, a new deployment that brings together the forces to promote the smooth and continuous transformation of new and old energy.","突出工业供应链安全方向,近期日本实施铜业高质量发展,明确提高铜原材料安全能力;防止低水平重建,新推出新型储能制造高质量发展行动计划,以多种方式考虑可持续性因素...牢牢把握行业的特征,在国家发展局的进步计划,新部署将推动新和旧能源的流和连续转型的力量聚集在一起.",0.07692307692307693,0.5,6,1,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　“尽管这两个字在日常表达中经常被混用，但它们并不完全相同
","The two words are often confused in everyday expressions, but they are not exactly the same.","虽然这两个词经常被混为一谈,但它们并不完全相同.",0.2,0.4444444444444444,2,1,2
"”首都医科大学附属北京安贞医院临床营养科副主任医师王蕤说
","Dr Wang Liu, deputy director of clinical nutrition at Beijing Anhui Hospital, affiliated with the Beijing Medical University, said:",据北京医学大学附属北京安医院临床营养副主任王博士表示:,0.875,0.6666666666666666,1,1,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  好种子的潜能需要好方法、好设备来发挥
",The potential of a good seed requires good methods and good equipment to play out.,"为了使一个好的种子具有潜力,需要好方法和好设备.",0.14285714285714285,0.7142857142857143,1,1,0
"从播种到收割，农科院的专家们把每个环节的技术要领都仔细传授，这让农户们受益匪浅
","From sowing to harvesting, experts at the Faculty of Agriculture have been teaching every aspect of the technique carefully, which has benefited farmers immensely.","从种植到收获,农业学院的专家们一直在仔细地教导这项技术的各个方面,这对农民来说是非常有益的.",0.6,0.6,2,2,2
"比如，精细施肥和生物防控，前者在减少施肥总量的同时，也大幅提高了化肥的利用效率
","For example, fine-grained fertilisation and bio-controls have significantly improved the efficiency of chemical utilization while reducing total fertilisation.","例如,细粒度肥料和生物控制显著提高了化学物质利用的效率,同时减少了总肥料.",0.5555555555555556,1.0,1,1,1
"后者则通过“以虫治虫”的方式减少了农药投入，让产出的稻米更加安全
","The latter reduced pesticide intake by using the same methods as the insect-to-insect diet, making the rice produced safer.","后者通过使用与昆虫食相同的方法减少了杀虫剂的摄入量,",0.4166666666666667,0.4166666666666667,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  最近，在湖北宜昌一家理发店工作的张女士开通个人公积金账户，并缴存了第一笔公积金
","Recently, Ms. Zhang, who works in a hairdressing shop in Hubei, opened a personal savings account and deposited her first deposit.","张女士最近在湖北的一家发型店开设了一个个人储蓄账户,",0.1,0.6,1,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “只要胡同存在一天，它便是个有机体，有生命、有感情，他会思念远人，远人也会思念它
","The day a vacuum exists, it's an organic body, it's alive, it's emotional, and it's going to think about people, and people will think about it.","假存在的那一天,它是一个有机的身体,它活着,它是情感的,它会想到人们,人们会想到它.",0.09090909090909091,0.7272727272727273,3,6,5
"”展览结语中，学者邓云乡的话令人回味悠长
",The words of the scholar Liu Yun-Keng are a reminder of the long history of the Chinese exhibition.,云的言论提醒我们中国展览的悠久历史.,0.6666666666666666,0.6666666666666666,1,1,1
"（记者董素玉 丁静 郭宇靖）
","(Journalist Dong Sun Yue, Ding Shih, Gu Yu-Yun)","记者唐孙,丁希,郭玉云",0.75,0.3333333333333333,0,0,1
"  此外，更多互联网平台的入局，大屏小屏、横屏竖屏的融合等也带来更多机遇
","In addition, more Internet platforms are coming in, and the integration of large screens, small screens, and side screens is also bringing more opportunities.","另外,越来越多的互联网平台正在进入,",0.09090909090909091,0.45454545454545453,1,3,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  中国工程院院士丛斌建议，一方面，应研究设立针对科普创新的评价指标体系，体现科普奖项的科学性、公平性、实用性和导向性；另一方面，将科普奖纳入国家科技奖的范畴和体系，并在现有科技奖项中加大科普奖励的等级与比重
","The Chinese Academy of Engineering, Xi Jinping, suggested that, on the one hand, the establishment of a system of indicators for the evaluation of KOP innovation, reflecting the scientific, fairness, practicality and orientation of the KOP awards, and, on the other hand, the inclusion of the KOP awards in the categories and systems of the National Science Awards, and the increase in the ranking and proportion of existing KOP awards, should be studied.","习近平表示,一方面,应研究建立一个对KOP创新评估指标体系,反映KOP奖项的科学,公平性,实用性和方向,另一方面,应研究将KOP奖项列入国家科学奖项类别和系统,以及增加现有的KOP奖项排名和比例.",0.07692307692307693,0.6153846153846154,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “她的病情发作起来比较凶险，在目前的医疗条件下就算医治也无法增加生命的长度，我能做的，就是和她一起努力过好每一天
","I'm not sure if I can live longer than I can, but I can't help but try to be with her every day.","我不确定我能否活得更长,但我不能不试着每天和她在一起.",0.1,0.7,3,4,3
"”在自己经营的小吃摊前，丁一舟这样和我说
","In the morning, the young man, who was in the kitchen, said to me, ""I'm going to go to the kitchen and I'll go to the kitchen"".","到了早上,那个在厨房里的年轻人对我说"",我要去厨房,然后我去厨房"".",0.5,0.6363636363636364,2,4,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  入冬以来，寒意渐浓，但每天都有不少骑行爱好者从太原市区出发，沿东山旅游公路盘山而上，到达位于城郊的王家山森林运动公园
","The winter has been getting colder, but every day many cyclists leave the Tainan city area, along the Donghan tourist road to the Park of Jungkyung Forest, a park on the outskirts of the city.","冬天变得越来越冷,但每天,许多骑自行车的人都离开泰南市区,沿着东汉旅游道路前往金云森林公园,",0.07692307692307693,0.5384615384615384,2,2,1
"站在公园观景台上，漫山苍翠映入眼帘，清新空气沁入鼻尖，令人心旷神怡
","The park's viewpoint was filled with tears, fresh air poured into the nose, and the mountains were filled with tears.","园区的景点充满了眼,空气流入鼻子,山脉充满了眼.",0.5,0.625,2,1,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
","Zhang Lu, Vice Minister of the Ministry of Technical Management, Assessment and Technology, reminds consumers that learning and understanding the scope of the functions and emergency response of the intelligent driving system is a good way to safely use the intelligent driving system, especially in situations where there may be poor performance in some complex road conditions or in bad weather.","技术管理,评估和技术部副部长张卢提醒消费者,学习和了解智能驾驶系统的功能范围以及应对紧急情况是安全使用智能驾驶系统的好方法,特别是在某些复杂的道路条件或恶劣天气下可能出现性能差的情况.",0.07142857142857142,0.6,3,1,2
"此外，用户还需及时更新软件以获取最新功能和安全补丁
","In addition, users will need to update the software in a timely manner to get the latest features and security patches.","此外,用户需要及时更新软件,以获得最新功能和安全补丁.",0.8571428571428571,1.0,1,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"从“年味”到“春意”，从烟火人间到万物生长，“来自乡村的礼物”正以影像为桥，连缀起传统与现代、城市与乡村、个体与时代的情感共鸣
","From the taste of the lime to the taste of the lime, from the fireworks to everything, the gifts from the countryside are being bridged with images, bringing together the emotions of tradition and modernity, city and country, individual and time.","从味到味,从烟花到一切,",0.6,0.3,1,0,1
"让我们一起走进乡村，寻找春天的足迹，记录中国乡村最动人的“春天故事”，共同见证乡村的美好未来
","Let's walk into the countryside together, look for the footprints of spring, record the most moving stories of spring in the Chinese countryside, and witness the wonderful future of the countryside together.","我们一起走进农村,寻找春季的足迹,记录中国农村春季最感动的故事,",0.6666666666666666,0.4166666666666667,0,1,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  近些年，在能源转型现实需要和政策支撑下，虚拟电厂快速发展，覆盖场景日益丰富，在能源保供、新能源消纳等方面发挥了积极作用
","In recent years, under the support of real needs and policies for energy transformation, virtual power plants have been developing rapidly, increasingly covering the landscape, and playing an active role in energy security, new energy consumption, and more.","近年来,在能源转型的实际需求和政策的支持下,虚拟电站发展迅速,越来越多地覆盖了景观,并在能源安全,新能源消费等方面发挥了积极作用.",0.1,0.7,4,1,1
"但既有虚拟电厂主要针对工商业用户，居民用户参与机会较少，居民侧电力负荷资源处于“沉睡”状态
","However, virtual power plants are mainly targeted at industrial and commercial users, with fewer opportunities for residents to participate, and residents' side-loaded electricity resources are dormant.","然而,虚拟电站主要针对工业和商业用户,居民参与的机会较少,居民的侧载电资源停滞不前.",0.8888888888888888,0.5833333333333334,5,2,4
"
",The first is,第一个是,0.25,0.4,0,1,0
"  为了让消费者更好地接受智能驾驶，同时也充分展示汽车品牌的智驾技术，从去年开始，车企高层纷纷亲自出马，涌入直播间，开启路上智驾测试
","To make consumers more accepting of intelligent driving while also fully demonstrating the intelligent driving technology of car brands, since last year, senior automotive companies have been personally racing, streaming live and launching smart driving tests on the road.","为了让消费者更能接受智能驾驶,同时充分展示汽车品牌智能驾驶技术,自去年以来,",0.09090909090909091,0.45454545454545453,1,2,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “我相信，每个人都可以用自己的方式去发光发热
",I believe that everyone can light the heat in their own way.,我相信每个人都能以自己的方式点燃热量.,0.14285714285714285,0.875,2,2,2
"”任二娟说，希望能够把所学的知识，尽自身最大的力量，奉献给一些需要的患者，让更多患者感受到关爱和温暖
",The Chinese leader said he hopes to use what he has learned to the best of his ability to dedicate some of his patients to help them feel cared for and warm.,"他希望尽可能地利用他所学到的知识,",0.5263157894736842,0.3157894736842105,1,4,2
