zho,eng,zho_reverse
"着眼提高干部专业素养，开展涵盖业务全链条的纪法培训，加强履职通识培训，分层级分领域精准施训，扎实推进纪检监察学科建设，不断提升发现处置问题、开展思想政治工作、推进以案促改促治、研判处置涉纪涉腐舆情等能力
","The aim is to improve the professional skills of the staff, conduct disciplinary training covering the entire chain of business, strengthen professional skills training, train in precision in the sub-level areas, strengthen the development of disciplinary supervision disciplines, continuously improve the discovery of dismissal issues, conduct thought-political work, promote the promotion of judicial reform, promote research and dismissal of corruption cases, etc.","目的是提高员工的专业技能,开展涵盖整个业务链的纪律培训,加强专业技能培训,在次级领域进行精确培训,加强纪律监督纪律的发展,不断提高裁员问题的发现,开展思想政治工作,促进司法改革的推进,促进调查和裁员腐败案件等."
"着眼提高监督执纪执法质量，教育引导干部牢固树立和践行正确政绩观，坚持实事求是，严格依规依纪依法，正确把握政策策略，准确定性量纪执法，毋枉毋纵，安全文明办案，实现政治效果、纪法效果、社会效果有机统一
","The aim is to improve the quality of enforcement of the law, to educate the cadres to establish and practice the correct political outlook, to insist on the facts, to strictly comply with the law, to properly grasp policy strategies, to ensure the enforcement of precision measures, to manipulate the law, to ensure civilization, to achieve political effect, to achieve the legal effect, to achieve the organic uniformity of social effect.","目的是提高执法质量,培养干部建立和实践正确的政治观点,坚持事实,严格遵守法律,正确把握政策策略,确保执行精确措施,操纵法律,确保文明,实现政治效果,实现法律效果,实现社会效果的有机统一性."
"实施加强组织建设三年行动计划，着眼优化干部选育管用机制，完善干部准入机制，加强监督执纪执法专业人才储备，完善拓展培养机制，优化干部梯队建设，稳妥有序推进干部轮岗交流，有计划安排干部到正风肃纪反腐一线磨砺，完善考核评价机制，激励干部担当作为
","Implement a three-year action plan to strengthen organizational building, focus on optimizing the cadres selection and governance mechanisms, improving the cadres access mechanism, enhancing the supervision of the talent reserve of law enforcement professionals, improving the development of the training mechanism, optimizing the cadres ladder construction, steadily and orderly promoting cadres rotation exchanges, planning to arrange cadres to the first line of anti-corruption grinding, improving the review evaluation mechanism, and motivating cadres to act as the responsible.","实施三年行动计划,加强组织建设,重点优化干部选择和治理机制,改善干部获取机制,加强执法人员人才储备的监督,改善培训机制的发展,优化干部梯次建设,稳步和有序促进干部轮换交流,计划将干部安排到反腐败研磨的第一线,改善审查评估机制,并激励干部担任负责人."
"　　加强政治建设
",Strengthening political construction,加强政治建设
"纪检监察队伍因党而生、为党而战，忠诚于党是纪检监察铁军最根本的政治品格，必须敬畏信仰、敬畏组织，做一尘不染的忠诚卫士
","The police surveillance team is born for the party, it fights for the party, loyalty to the party is the most fundamental political characteristic of the police surveillance iron army, it must fear the faith, fear the organization, be a stainless loyal guards.","警方监视团队是为党而生的,为党而战,对党的忠诚是警方监视铁军最基本的政治特征,"
"要始终不渝用习近平新时代中国特色社会主义思想武装头脑，筑牢思想根基、学习科学方法、汲取真理力量，及时转化为敢为的行动、善为的能力、有为的效果；深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”，及时甄别、坚决清除政治上的两面人，确保整支队伍对党绝对忠诚、政治上绝对可靠，任何时候任何情况下都同以习近平同志为核心的党中央保持高度一致；始终不渝心怀“国之大者”，自觉把工作置于党和国家大局中谋划推进，为实现新时代新征程党的使命任务作出更大贡献
","To always use the Chinese characteristic socialist ideas of Xi Jinping's new era to arm the mind, to build strong ideas, to learn scientific methods, to draw the power of truth, to transform in time into bold action, good-doing ability, positive results; to deeply understand the decisive meaning of the two established principles, to be determined to maintain the two pillars, to be determined to separate in time, to clear the political sides, to ensure that the whole team is absolutely reliable in the party, absolutely loyal to the politics, to be in line with the party's core core values at any time and in any situation; to always remain in a high level of consistency with Xi Jinping's core values; to always be mindful of the great leaders of Xi Jinping, to put the work of the party and the national leadership in mind to plan ahead and to make greater contributions to the mission of the new era.","始终利用习近平新时代的中国特色社会主义思想,武装思想,建立强有力的思想,学习科学方法,汲取真理的力量,以时间转化为大胆行动,善行能力,积极成果;深入理解两项既定原则的决定性意义,决心保持两项柱子,决心及时分离,清除政治方面,确保整个团队在党内完全可靠,完全忠于政治,随时随时随时符合党的核心价值观;始终保持与习近平的核心价值观一致的高度水平;始终牢记习近平伟大的领导人,提前党的工作和国家领导层,并为新时代的使命做出更大的贡献."
"　　面对党中央和习近平总书记交给的光荣使命、党和人民赋予的神圣权力，纪检监察机关必须始终保持敬畏之心，切实加强纪检监察工作规范化法治化正规化建设，以更高标准、更严要求，打造忠诚干净担当、敢于善于斗争的纪检监察铁军
","In the face of the honorable mission given to the Party Central Committee and General Secretary Xi Jinping, the sacred power given to the Party and the people, the judiciary oversight bodies must always maintain a heart of awe, strengthen the judiciary oversight work, standardize the legislative and normalisation of construction, to raise standards, more stringent requirements, build a loyal and clean responsibility, brave to fight the judiciary oversight ironclad army.","面对党中央和习近平总书记的荣誉使命,给党和人民赋予的神圣权力,司法监督机构必须始终保持敬畏的心,加强司法监督工作,规范立法和规范建设,提高标准,更严格的要求,建立忠诚和清洁的责任,勇敢地打击司法监督铁的军队."
"　　（八）开展“纪检监察工作规范化法治化正规化建设年”行动，着力推动纪检监察铁军建设再上新台阶　　切实推动健全全面从严治党体系
","(e) To carry out the work of regularization of the surveillance of the Iron Curtain, the regulation of the rule of law, the normalisation of the construction of the Iron Curtain, the efforts to promote the construction of the Iron Curtain and the development of the Iron Curtain, and the effective promotion of the overall reform of the system of the ruling party.","(e) 开展监督铁幕的规范化工作,法治的规范,铁幕的建设的规范化,促进铁幕的建设和铁幕的发展的努力,并有效促进统治党制度的整体改革."
"督促各级党组织用系统思维、科学方法推进管党治党内容全涵盖、对象全覆盖、责任全链条、制度全贯通，进一步健全上下贯通、执行有力的组织体系，固本培元、凝心铸魂的教育体系，精准发力、标本兼治的监管体系，科学完备、有效管用的制度体系，主体明确、要求清晰的责任体系
","Urge the party organizations at all levels to promote the full coverage of the Party-ruled content, the full coverage of the Party, the full coverage of the objects, the entire chain of responsibility, the full integration of the system, further improving the overall implementation, the implementation of a strong organizational system, the solid foundation, the cohesive education system, the precise driving force, the model and the regulated regulatory system, the scientific completeness, the system of effective governance, the subject clear, the requirement of clear responsibility system.","敦促各级党组织促进党的内容的全面覆盖,党的全面覆盖,对目标的全面覆盖,整个责任链,系统的全面整合,进一步改善整体实施,建立强有力的组织体系,坚实的基础,凝聚的教育体系,精确的驱动力,模式和监管的监管体系,科学完整性,有效治理体系,主题清晰,清晰的责任体系的要求."
"　　切实履行纪委（纪检组）监督责任
",The Commission has also been asked to provide a detailed report on the implementation of the Commission's responsibility to oversee the implementation of the Regulation.,委员会还被要求提供有关执行该条例的监督责任的详细报告.
"做实专责监督，把更多时间和精力用到监督上，确保监督不缺位
","To do a real duty of supervision, to spend more time and energy on supervision, to ensure that supervision is not lacking.","为了确保监督不缺少,我们必须要做一个真正的监督义务,"
"聚焦主责主业，确保监督不泛化虚化
",Focus on the main responsibilities of the industry and ensure that supervision does not become generalized.,"专注于行业的主要责任,确保监督不会变得普遍."
"突出“监督的再监督”，督促各责任主体把责任扛起来，确保监督不越位
","The Commission also highlighted the need for further supervision, urging all responsible actors to take responsibility and ensure that supervision is not excessive.","委员会还强调需要进一步监督,并敦促所有负责人承担责任,确保监督不过度."
"　　切实督促职能部门履行监管责任
",The Commission is also working to ensure that the relevant regulatory authorities are fully accountable for their regulatory responsibilities.,委员会还致力于确保有关监管机构对其监管责任负有充分责任.
"坚持管行业管业务必须强监管，坚决纠治监管缺失缺位、管党治党乏力问题，防止以纪委监督代替部门监管
","The governance of the management industry must be strictly regulated, resolutely addressed the lack of regulatory vacancies, the weakness of the governing party, and prevented the replacement of sectoral regulation by the supervisory committee.","管理行业的治理必须严格监管,坚决解决缺乏监管职位,管理党的弱点,防止监管委员会取代部门监管."
"对监管责任落实不力的职能部门及相关责任人，依规依纪依法追究责任
",The functional sector and the persons responsible for the failure to implement the regulatory responsibilities shall be held liable in accordance with the law and the law.,职能部门和未履行监管责任的责任人应根据法律和法律承担责任.
"　　切实督促党委（党组）履行主体责任
",The party group urged the party committee to fulfill its main responsibilities.,党组敦促党委履行其主要责任.
"督促党委（党组）认真执行全面从严治党主体责任规定、加强对“一把手”和领导班子监督的意见，加强对本地区本单位本系统全面从严治党工作的领导，坚决纠正只抓业务不抓风纪、只管发展不治腐败等问题
","Urges the Party Committee (Party Group) to implement the comprehensive provisions of the responsibility of the party's main party, strengthen the views on the supervision of the leadership and leadership team, strengthen the leadership of the local unit system from the work of the party, and resolutely correct the problems of business not to claw, development not to rule corruption, etc.","敦促党委 (党组) 执行党的主要政党责任的全面规定,加强领导和领导团队监督的观点,加强党的工作中从地方单位体系的领导,并坚决纠正不门业务,不治理腐败的发展等问题."
"督促“一把手”扛起第一责任人责任、领导班子其他成员履行“一岗双责”，直面问题、敢抓敢管，坚决防止事前当“老好人”、事后当“诸葛亮”
","Encourage the other members of the leadership team to fulfill their duties, face the problems, dare to take the lead, and resolutely prevent the problems before the elderly are angry, and the problems afterwards.","鼓励领导团队的其他成员履行他们的职责,面对问题,敢于领导,并坚决防止老年人在愤怒之前的问题,后面的问题."
"　　全面从严治党要巩固历史性成就、取得更大成效，必须坚持以“两个责任”抓纲带目，在党中央集中统一领导下，健全各负其责、统一协调的管党治党责任格局，不断巩固发展全党动手一起抓的良好局面
","In order to consolidate the historical achievements of the ruling party and achieve greater results, it is necessary to insist on the two-pronged responsibility, under the united leadership of the party center, to consolidate the overall and coordinated governance of the party, and to consolidate the good situation in which the whole party develops.","为了巩固执政党的历史成就,并取得更大的成果,必须坚持在党中心统一领导下,"
"　　（七）强化全面从严治党政治责任，着力推动严的基调一贯到底　　推动完善党和国家监督体系
","(vii) Strengthen the overall political responsibility of the ruling party from the ruling party, focusing on promoting strict tuning and continuing to promote the improvement of the party and national surveillance system.","(vii) 加强执政党对执政党的整体政治责任,重点促进严格调整,并继续促进党和国家监督系统的完善."
"以党内监督为主导，推动党委（党组）履行全面监督职责，加强对各类监督主体的领导和统筹，确保党的领导和监督一贯到底
","The Party Committee (PSC) is led by internal supervision and promotes the full implementation of the Party Committee's supervision duties, strengthening the leadership and coordination of all types of supervisory bodies, ensuring the consistent leadership and supervision of the Party.","党委 (PSC) 受到内部监督的领导,促进党委的监督职责的全面执行,加强各类监督机构的领导和协调,确保党的一致领导和监督."
"以专责监督为主干，制定纪检监察机关（机构）在监督检查审查调查工作中协作配合规定，优化“组组”协同监督、“室组”联动监督、“室组地”联合办案、“室组地校企巡”协调联动机制，明确具体职责，规范工作程序，优化审批流程，促进“四项监督”统筹衔接常态化制度化
","The Commission shall establish a single supervisory authority with the sole responsibility of supervising, establishing a single supervisory authority (a body) for the coordination of supervisory inspection and review investigations, the coordination of supervisory and supervisory activities, the coordination of supervisory and supervisory activities, the coordination of supervisory activities, the coordination of supervisory and supervisory activities, the coordination of supervisory activities, the coordination of the coordination of the activities of the supervisory and supervisory authorities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities, the coordination of the supervisory and supervisory activities of the supervisory authorities, the coordination of the supervisory and supervisory authorities, the coordination of the supervisory and supervisory authorities, the coordination of the supervisory and the supervisory authorities, the coordination of the supervisory and the supervisory authorities and the supervisory authorities.","委员会设立一个监管机构,负责监督,设立一个监管机构 (一个机构) 协调监督检查和审查调查,监督和监督活动,监督和监督活动的协调,监督活动的协调,监督和监督活动的协调,监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督活动的协调,监督和监督和监督机构的协调和监督和监督机构的协调,监督和监督和监督机构的协调和监督和监督机构的协调,监督和监督和监督机构的协调和监督和监督机构的协调和监督机构的协调,监督和监督和监督机构的协调和监督机构的协调和监督机构的协调和监督机构的协调和监督机构的协调和监督活动."
"以基层监督为支撑，持续优化基层纪检监察机构设置和力量配备，健全空编人员动态补充机制，提升基层纪检监察监督质效
","Supporting the implementation of grassroots supervision, continuously optimizing the establishment and strengthening of grassroots supervisory institutions, strengthening the dynamic complementation mechanism of the staff, and improving the quality of grassroots supervisory supervision.","支持基层监督的实施,不断优化基层监督机构的建立和加强,加强员工的动态补充机制,提高基层监督的质量."
"以各类监督贯通协调为保障，深化拓展纪检监察监督与审计监督、财会监督、统计监督等协作配合机制
","The cooperation mechanisms for the coordination of all kinds of supervision, including the protection and deepening of the scope of the collaborative mechanisms for supervisory and audit supervision, financial supervisory and statistical supervision, are being developed.","合作机制,包括监督和审计监督,金融监督和统计监督的合作机制的保护和深化范围,正在发展."
"　　推进纪检监察机构改革
",The government has also launched a new policy on the reform of the judiciary and the supervisory authorities.,政府还推出了一项关于司法和监管机构改革的新政策.
"深化纪委监委机关内设机构改革，完善职能配置、机构设置、力量配备，优化监督检查和审查调查机构职能，提高监督执纪执法综合效能
","deepen the institutional reforms within the regulatory authority, improve functional configuration, institutional set-up and strength-building, optimize the functioning of the supervisory inspection and review of the investigative authority, and improve the overall effectiveness of the supervisory and enforcement of the law.","进一步深化监管机构的机构改革,改善职能配置,机构的设置和加强,优化监管检查和调查机构审查的运作,提高监管和执法的整体效率."
"深化派驻机构改革，完成向中管企业全面派驻纪检监察组
",Deepen the reform of the deployment institution and complete the full deployment of the DPO monitoring group to the Central governments.,"深化部署机构改革,并完成部署部署监督组到中央政府的全面部署."
"深化派驻监督向下延伸，制定监察“再派出”的指导意见，稳慎有序推动有关派驻机构向驻在单位的下一级单位、部属高校和国务院国资委管理领导班子的中央企业“再派出”，强化对“再派出”监察人员的管理监督
","The Ministry of Defence and Security has also extended the period of deployment downwards, developed guidelines for the deployment of surveillance units and sentries, and has been steadily and systematically promoting the deployment of surveillance units to the next level units of the units, the Central Enterprise Unit of the Ministry of Education and the State Council's State Finance Committee, and strengthened the administrative supervision of the deployment of surveillance personnel.","国防部还将部署时间缩短,制定了监控单位和哨兵部署的指南,并稳步和系统地促进监控单位部署到下层部,教育部中央企业部和国务院国家财政委员会部署,加强监控人员部署的行政监督."
"完善中央和国家机关部门机关纪委监督执纪工作机制
",Improving the mechanism of enforcement oversight by the Central and State Border Commission in the Central and State Border Departments,改善中央和国家边境局执行监督机制
"因地制宜深化县级派驻机构集中办公、片区协作等工作机制
","The government has also proposed a mechanism to deepen the work of the district-level deployment agencies, such as the centralized office, the cooperation of the regions.","政府还提出了一种机制,以深化地区级部署机构的工作,如中央办公室,区域合作."
"规范省以下派驻机构考核工作，用好考核结果，发挥激励作用
",The following institutions are established in the province to regulate the audit work and to act as incentives to use good results of the audit.,"为了监管审计工作,并作为鼓励使用审计的好结果,该省设立以下机构:"
"　　加强纪检监察法规制度建设
",Strengthen the establishment of the regulatory system for judicial supervision,加强司法监督监管体系的建立
"推动完善党内法规制度体系，协助党中央制定规范诫勉工作的法规、制定党委（党组）对下级“一把手”开展监督谈话工作办法、修订《国有企业领导人员廉洁从业若干规定》
","To promote the improvement of the system of regulation within the Party, to assist the Party Central in the development of regulations that regulate the hard work of the Party; to establish the Party Committee (Partisan Group) to supervise the working methods of the talks with the subordinate leadership; to amend some of the rules for the honest practice of the leaders of state-owned enterprises;","促进党内监管制度的完善,协助党中央制定规则,规范党的努力工作;设立党委 (党派组),监督与下属领导层的谈判工作方式;修改一些关于国家企业领导诚实实实践的规则;"
"健全反腐败法律法规体系，配套修改监察法实施条例，起草反跨境腐败法，修订《关于加强和完善监察执法与刑事司法衔接机制的意见（试行）》
","Strengthen the legal and regulatory system against corruption, support the revision of the Regulations for the implementation of the Law on Supervision, drafting the Law on Anti-Cross-Border Corruption, and amend the Opinions on Strengthening and Improving the Mechanism of Linking Supervision Enforcement and Criminal Justice.","加强反腐败的法律和监管体系,支持对监督法实施条例的修订,制定反跨境腐败法,并修改关于加强和改善监督执法和刑事司法机制的意见."
"推进监督执纪执法规范化建设，修订《纪检监察机关处理主动投案问题的规定（试行）》，制定监察公开工作条例、审查调查安全工作规定，以及中央纪委国家监委派驻纪检监察组和中管企业、中管高校纪检监察机构监督检查审查调查措施使用管理办法
","Promote the establishment of regulatory oversight and enforcement, amend the regulations of the Supervisory Board of Supervisors to deal with the issues of proactive filing, prepare the regulations for the public work of supervision, review investigative security work, and use of management measures by the National Supervisory Board of the Central Board of Supervisors to supervise the Supervisory Board of Supervisors and the Central Board of Supervisors of Supervisors of Supervisory Supervisors of Supervisory Supervisory Agencies and Supervisory Board of Supervisory Supervisory Supervisors of Supervisory Supervisory Supervisory Supervisory Agencies of Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervisory Supervis","促进监督管理和执法,修改监督管理委员会规定,以处理主动提交问题,准备监督管理,审查调查安全工作的公共工作的规定,并利用监督管理措施,以监督监督管理委员会和监督管理机构监督管理委员会,监督管理机构监督管理委员会和监督管理机构监督管理委员会监督管理委员会,监督管理委员会监督管理委员会监督管理委员会,监督管理机构监督管理委员会监督管理局监督管理机构监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督管理监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督监督"
"　　纪检监察体制改革是进一步全面深化改革的重要组成部分，必须深入落实党的二十届三中全会关于纪检监察体制改革战略部署，以制度建设为主线，以深化机构改革为重点，以增强系统性协同性有效性为着力点，通过重点改革突破带动全局工作提升
","The reform of the system of judicial supervision is an important part of further comprehensive and deepening reforms, which must be implemented in depth at the 20th Session of the Third National Congress on the implementation of the Strategy for Reform of the system of judicial supervision, with a focus on institutional reform, with a focus on deepening institutional reform, to enhance the effectiveness of systemic co-operation and to advance the overall work through key reforms and breakthroughs.","司法监督制度改革是进一步全面和深化改革的重要组成部分,必须在第三届全国代表大会第20届会议实施司法监督制度改革战略时进行深入实施,重点是机构改革,重点是深化机构改革,提高系统合作的有效性,并通过关键改革和突破推动整体工作."
"　　（六）深化落实纪检监察体制改革任务，着力推动完善党的自我革命制度规范体系　　完善巡视工作制度机制
","(six) To deepen the implementation of the mission of reforming the system of judicial review and surveillance, to focus on promoting the improvement of the Party's self-revolutionary system of regulation and the improvement of the mechanism of the system of work of the Party.","(六) 深化改革司法监督制度的使命的执行,重点促进党的自革命性监管制度的完善,以及党的工作体系机制的完善."
"修订《中央巡视组信访工作办法》，完善巡视移交、巡视报告问题底稿审核等制度，探索建立巡视报告审核机制
","To revise the methodology for the Central Board of Visitors' Interviews, to improve the system of visitation transfers, and to explore the mechanism for the audit of the sub-reports of the Central Board of Visitors' Reports.","修改中央访问委员会访谈方法,改善访问转移系统,并探讨中央访问委员会报告子报告审计机制."
"在数字纪检监察体系框架下，研究建设巡视巡察数据库和中央巡视数据分析平台，提高运用数据化手段发现问题能力
","Research on the construction of the Central Patrol Database and Data Analysis Platforms within the framework of the Digital Patrol Monitoring System, to improve the ability to detect problems using data-driven means.","根据数字巡逻监测系统,建立中央巡逻数据库和数据分析平台,以提高使用数据驱动的手段检测问题的能力."
"健全巡视组组长、副组长选配机制
",The Committee on Tourism and Tourism has been working on a new strategy to improve the selection of the Chairman and Deputy Chairman of the Committee.,"旅游和旅游委员会一直在制定一个新的战略,以改善委员会主席和副主席的选择."
