zho,eng
"在病房内的桌子上，我留意到有一台医院给患者家属配备的翻译机，“我们还有专门的越南语翻译人员可以随时提供服务
","On the table in the hospital room, I noticed that there was a translator in the hospital for the families of the patients, and we had a dedicated Vietnamese translator who could help us at any time."
"”何云燕说，“医疗健康是民心相通的关键领域，他们选择来到中国治疗，这是一份沉甸甸的信任，对待任何一名患者，我们都会尽百分百的努力
","Liu Yun-yeon said that the health of the people of Yang is a key area of common interest and they chose to come to China for treatment, which is a belief in the Chinese government that we will do our best to treat any one patient."
"”
",What is it?
"　　一方面，食物中的辛味和辣味源自相同的化学成分，它们带给人的味觉感受也相似
","On the one hand, the flavor and flavor of food comes from the same chemical ingredients, which give people similar taste sensations."
"王蕤介绍，辣椒素、大蒜素、姜辣素等化合物，会刺激口腔中的痛觉受体，产生灼热、刺痛和麻木感，同时促使神经系统释放内啡肽，带来愉悦感
","Wang Yi said that compounds such as carotenoid, carotenoid, and carotenoid stimulate the pain receptors in the mouth, causing burning, stinging, and numbness, while also stimulating the nervous system to release endorphins and bring pleasure."
"刺激与奖赏并存，让人又“痛”又“快”，这便是吃辛辣令人上瘾的原因
","The fact that the stimulus and reward go hand in hand, making people sick and tired and tired is why eating cinnamon is addictive."
"
",The first is
"  对于在线培训机构的虚假宣传、违规经营，大家不要轻信盲从，应该第一时间向有关部门举报
",The report on the false propaganda and illegal operations of online training institutions should be reported to the relevant authorities first.
"相关部门和平台必须加强监管，对非法行为坚决查处
",The relevant authorities and platforms must strengthen the regulation and firmly investigate illegal acts.
"
",The first is
"  突出产业链供应链安全指向，近日印发的铜产业高质量发展实施方案明确增强铜原料保障能力；防止低水平重复建设，新推出的新型储能制造业高质量发展行动方案在多方面考虑可持续发展因素……牢牢把握产业特点，在国家发展大局中谋划推进，一项项新部署凝聚推动新旧动能平稳接续转换的合力
","Highlighting the industrial chain supply chain security direction, the recent implementation of high quality development of copper industry in Japan, clearly enhancing copper raw material security capacity; preventing low-level rebuilding, newly launched new types of energy storage manufacturing high quality development action plans considering sustainability factors in many ways ... firmly grasp the characteristics of the industry, plan for advancement in the National Development Agency, a new deployment that brings together the forces to promote the smooth and continuous transformation of new and old energy."
"
",The first is
"　　“尽管这两个字在日常表达中经常被混用，但它们并不完全相同
","The two words are often confused in everyday expressions, but they are not exactly the same."
"”首都医科大学附属北京安贞医院临床营养科副主任医师王蕤说
","Dr Wang Liu, deputy director of clinical nutrition at Beijing Anhui Hospital, affiliated with the Beijing Medical University, said:"
"
",The first is
"  好种子的潜能需要好方法、好设备来发挥
",The potential of a good seed requires good methods and good equipment to play out.
"从播种到收割，农科院的专家们把每个环节的技术要领都仔细传授，这让农户们受益匪浅
","From sowing to harvesting, experts at the Faculty of Agriculture have been teaching every aspect of the technique carefully, which has benefited farmers immensely."
"比如，精细施肥和生物防控，前者在减少施肥总量的同时，也大幅提高了化肥的利用效率
","For example, fine-grained fertilisation and bio-controls have significantly improved the efficiency of chemical utilization while reducing total fertilisation."
"后者则通过“以虫治虫”的方式减少了农药投入，让产出的稻米更加安全
","The latter reduced pesticide intake by using the same methods as the insect-to-insect diet, making the rice produced safer."
"
",The first is
"  最近，在湖北宜昌一家理发店工作的张女士开通个人公积金账户，并缴存了第一笔公积金
","Recently, Ms. Zhang, who works in a hairdressing shop in Hubei, opened a personal savings account and deposited her first deposit."
"
",The first is
"  “只要胡同存在一天，它便是个有机体，有生命、有感情，他会思念远人，远人也会思念它
","The day a vacuum exists, it's an organic body, it's alive, it's emotional, and it's going to think about people, and people will think about it."
"”展览结语中，学者邓云乡的话令人回味悠长
",The words of the scholar Liu Yun-Keng are a reminder of the long history of the Chinese exhibition.
"（记者董素玉 丁静 郭宇靖）
","(Journalist Dong Sun Yue, Ding Shih, Gu Yu-Yun)"
"  此外，更多互联网平台的入局，大屏小屏、横屏竖屏的融合等也带来更多机遇
","In addition, more Internet platforms are coming in, and the integration of large screens, small screens, and side screens is also bringing more opportunities."
"
",The first is
"  中国工程院院士丛斌建议，一方面，应研究设立针对科普创新的评价指标体系，体现科普奖项的科学性、公平性、实用性和导向性；另一方面，将科普奖纳入国家科技奖的范畴和体系，并在现有科技奖项中加大科普奖励的等级与比重
","The Chinese Academy of Engineering, Xi Jinping, suggested that, on the one hand, the establishment of a system of indicators for the evaluation of KOP innovation, reflecting the scientific, fairness, practicality and orientation of the KOP awards, and, on the other hand, the inclusion of the KOP awards in the categories and systems of the National Science Awards, and the increase in the ranking and proportion of existing KOP awards, should be studied."
"
",The first is
"  “她的病情发作起来比较凶险，在目前的医疗条件下就算医治也无法增加生命的长度，我能做的，就是和她一起努力过好每一天
","I'm not sure if I can live longer than I can, but I can't help but try to be with her every day."
"”在自己经营的小吃摊前，丁一舟这样和我说
","In the morning, the young man, who was in the kitchen, said to me, ""I'm going to go to the kitchen and I'll go to the kitchen""."
"
",The first is
"  入冬以来，寒意渐浓，但每天都有不少骑行爱好者从太原市区出发，沿东山旅游公路盘山而上，到达位于城郊的王家山森林运动公园
","The winter has been getting colder, but every day many cyclists leave the Tainan city area, along the Donghan tourist road to the Park of Jungkyung Forest, a park on the outskirts of the city."
"站在公园观景台上，漫山苍翠映入眼帘，清新空气沁入鼻尖，令人心旷神怡
","The park's viewpoint was filled with tears, fresh air poured into the nose, and the mountains were filled with tears."
"
",The first is
"  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
","Zhang Lu, Vice Minister of the Ministry of Technical Management, Assessment and Technology, reminds consumers that learning and understanding the scope of the functions and emergency response of the intelligent driving system is a good way to safely use the intelligent driving system, especially in situations where there may be poor performance in some complex road conditions or in bad weather."
"此外，用户还需及时更新软件以获取最新功能和安全补丁
","In addition, users will need to update the software in a timely manner to get the latest features and security patches."
"
",The first is
"从“年味”到“春意”，从烟火人间到万物生长，“来自乡村的礼物”正以影像为桥，连缀起传统与现代、城市与乡村、个体与时代的情感共鸣
","From the taste of the lime to the taste of the lime, from the fireworks to everything, the gifts from the countryside are being bridged with images, bringing together the emotions of tradition and modernity, city and country, individual and time."
"让我们一起走进乡村，寻找春天的足迹，记录中国乡村最动人的“春天故事”，共同见证乡村的美好未来
","Let's walk into the countryside together, look for the footprints of spring, record the most moving stories of spring in the Chinese countryside, and witness the wonderful future of the countryside together."
"
",The first is
"  近些年，在能源转型现实需要和政策支撑下，虚拟电厂快速发展，覆盖场景日益丰富，在能源保供、新能源消纳等方面发挥了积极作用
","In recent years, under the support of real needs and policies for energy transformation, virtual power plants have been developing rapidly, increasingly covering the landscape, and playing an active role in energy security, new energy consumption, and more."
"但既有虚拟电厂主要针对工商业用户，居民用户参与机会较少，居民侧电力负荷资源处于“沉睡”状态
","However, virtual power plants are mainly targeted at industrial and commercial users, with fewer opportunities for residents to participate, and residents' side-loaded electricity resources are dormant."
"
",The first is
"  为了让消费者更好地接受智能驾驶，同时也充分展示汽车品牌的智驾技术，从去年开始，车企高层纷纷亲自出马，涌入直播间，开启路上智驾测试
","To make consumers more accepting of intelligent driving while also fully demonstrating the intelligent driving technology of car brands, since last year, senior automotive companies have been personally racing, streaming live and launching smart driving tests on the road."
"
",The first is
"  “我相信，每个人都可以用自己的方式去发光发热
",I believe that everyone can light the heat in their own way.
"”任二娟说，希望能够把所学的知识，尽自身最大的力量，奉献给一些需要的患者，让更多患者感受到关爱和温暖
",The Chinese leader said he hopes to use what he has learned to the best of his ability to dedicate some of his patients to help them feel cared for and warm.
"
",The first is
"  丁一舟（左）与赖敏在旅行途中
","The first is the story of the life of a young man named Jin Jin-Jin, who is on a journey with Raimi."
"（受访对象提供）
",(Interviewees provided)
"  在频繁上报科创类产品的同时，资金端亦印证了市场对于科技领域的关注
","While the company frequently reports on innovative products, the finance side also highlights the market's focus on the technology sector."
"
",The first is
"  “阿勒泰市冰雪旅游的火热，离不开整个阿勒泰地区的抱团发展
",The hotness of the ice-snow tourism in the city of Aleppo is not separate from the development of the entire Aleppo region.
"”阿勒泰市文化体育广播电视和旅游局党组成员、副局长郭素娟说，继将军山滑雪场后，阿勒泰地区陆续建起多处各具特色的冰雪场地，集聚了更强吸引力
","Guo Sheng, deputy director of the Cultural Sports Broadcasting and Tourism Board of the City of Aleppo, said that after the General Mountain Skiing Grounds, the construction of various characteristic ice skating venues in Aleppo region continued to attract more people."
"
",The first is
"  “我们要与罕见病患者一路携手，让患者有希望、有奔头、有依托
","So we're going to work with rare patients to give them hope, to move forward, to rely on them."
"”北京协和医院院长张抒扬说，前方的路还很长，还有很多罕见病，需要各方形成合力去攻破难关
","Zhang Zhaoyang, director of the Beijing Co-operative Hospital, said that the road ahead is long and there are many rare diseases that need to be worked together to break the deadlock."
"
",The first is
"  “一讲到关键内容就推销高价课”“试听课质量高，付费后变了样，还得买进阶课”……近日，有消费者反映，上网课遭遇“套娃式”收费
","The key content is that high-quality, paid-for, and upgraded classroom tuition is sold... Recently, some consumers have reported that online classes are charged with a doll-like fee."
"
",The first is
"  外卖骑手就业还具有高流动性，不仅会在同一城市的不同企业间流动，还会在不同城市间流动
","The employment of out-of-town riders is also highly mobile, not only among different businesses in the same city but also between different cities."
"社保如何存续转移，也需要在制度层面给出回答
",The social security system needs to be able to respond to the systematic changes in how social security is transferred.
"
",The first is
"  对月背玄武岩中铅同位素的研究还揭示，月球的正面和背面在岩浆洋结晶后的演化过程存在差异
",Studies of the isotope of the moon's backbone in basalt rock also reveal that there are differences in the evolutionary processes of the moon's front and back after the crystallization of the lava.
"而大型撞击会使月球铅同位素组成产生变化，研究团队由此判断，形成月背南极-艾特肯盆地的巨大撞击，可能改造了该区域月幔的物理化学性质，导致如今月球正面和背面呈现出显著的差异
","Large impacts would alter the composition of the Moon's isotope, and the team concluded that a massive impact on the Antarctic-Attic Basin behind the Moon could have altered the physical and chemical properties of the region's lunar mantle, causing significant differences in the front and back of the Moon."
"
",The first is
"  广西医科大学第一附属医院的医生们针对小覃的病情进行多学科会诊
",Doctors at the first affiliated hospital of Guangxi Medical University conducted multidisciplinary clinical trials for the case of smallpox.
"（广西医科大学第一附属医院提供）
",(provided by First Affiliated Hospital of Guangxi Medical University)
"  无论是“无中生有”开辟新赛道，还是“有中出新”推动传统产业改造升级，往往涉及多个部门、机构，离不开各方协同配合
","Whether it is the opening of new paths or the emergence of new ones that promote the transformation and upgrading of traditional industries, often involving multiple sectors and institutions, and the collaboration of all parties."
"
",The first is
"  盘活存量首先要“盘”，对存量资源做到心中有数
",The first thing to do is to have a hard disk to keep track of the resources.
"
",The first is
"  湖南省农业科学院几年前将欧江岔村作为全省众多科研基地之一，开展了包括“三分地养活一个人”粮食高产绿色优质科技创新工程在内的多个示范试验
","The Hunan Agricultural Academy of Sciences, which has been one of the many scientific research bases in the province, conducted several demonstration experiments a few years ago, including a project to develop high-quality green technology and innovation in feeding one-third of the world's food to a person."
"中国工程院院士、湖南省农科院党委书记柏连阳带领团队，深入欧江岔村的田间地头，帮助农民选择适合自身条件的品种，教大伙儿性价比最高的栽培方法
","The Chinese Academy of Engineering, Party Committee Secretary of the Hunan Agricultural College, Berlian Yang, led the team to explore the fields in the village of Ojiangyang, helping farmers choose the varieties that suit their conditions and teaching them the most affordable way to grow them."
"
",The first is
"  “看看这条大带鱼，这是我们舟山正宗的小眼睛带鱼……”“红膏呛蟹，鲜香滑润，越吃越上瘾……”走进中国舟山国际水产城的“一条鱼”直播共富工坊，各家电商的工作人员正卖力地直播推介
","Look at this big-band fish, it's our original small-eyed fish from Zhouzhou... the more you eat, the more you drink... the more you eat, the more you drink... the more you go to Zhouzhou International Aquatic City, the more you go to Zhouzhou International Aquatic City, the more you go to Zhouzhou."
"
",The first is
"  既是巨大的消费市场，又是巨大的要素市场，扩大国内需求，农村有巨大空间，可以大有作为
","The country has a huge consumer market and a huge element market, expanding domestic demand, and the countryside has a huge space to play a big role."
"
",The first is
"  最高人民法院认为，党志军故意非法剥夺他人生命，其行为已构成故意杀人罪
",The Supreme People's Court held that the partisan forces intentionally and illegally took his life and that their actions constituted a crime of intentional murder.
"党志军在民事诉讼中采取伪造证据等手段谋取不正当利益未遂，预谋报复，杀害依法公正履职的案件审理法官，致一人死亡，犯罪动机卑劣，性质恶劣，手段残忍，情节、后果严重，社会影响恶劣，应依法惩处
","In civil proceedings, the SPSU has used means such as attempted forgery of evidence to obtain unjustified interests, premeditated revenge, murder of judges in cases of lawful and impartial execution, death of a person, criminal motives, nature of cruelty, methods of cruelty, serious consequences, social impact, and should be punished according to the law."
"原审判决、河南省高级人民法院复核裁定认定事实清楚，证据确实、充分，定罪准确，量刑适当，审判程序合法
","The preliminary ruling, the Supreme People's Court of Henan Province, reviewed the ruling that the facts are clear, the evidence is accurate, the convictions are accurate, the sentences are appropriate, the trial procedure is lawful."
"最高人民法院核准河南省高级人民法院同意原审判处党志军死刑的刑事裁定
",The Supreme People's Court has approved the criminal verdict of the High People's Court of Henan Province that the death penalty for the PSY soldiers at the original trial was upheld.
"
",The first is
"  在前期治理基础上，太原市以系统思维统筹水的全过程治理，坚持水污染防治、水生态修复、水资源约束协同推进，绘就“川容如画”的动人图景
","Based on the previous governance, Taipei City has been systematically thinking about the whole process of water unification, adhering to water pollution prevention, water ecological repair, water resource constraint and promoting collaboration."
"
",The first is
"  文章指出，经济工作千头万绪，必须统筹好几对重要关系
",The article notes that economic work is in full swing and that several important relationships must be coordinated.
"一是必须统筹好有效市场和有为政府的关系，形成既“放得活”又“管得住”的经济秩序
",One is to unify effective markets and governmental relations to create an economic order that is both vibrant and resilient.
"政府要有所为、有所不为，解决好缺位、越位问题
","The government has to do something, not do something, to solve the gaps, the problems."
"政府行为越规范，市场作用就越有效
","The more normative the government's behavior, the more effective the market will be."
"二是必须统筹好总供给和总需求的关系，畅通国民经济循环
",The second is that we must unify the relationship between total supply and total demand and bridge the national economic cycle.
"要坚持供需两侧协同发力、动态平衡，持续深化供给侧结构性改革
",The key is to maintain a balance of power and dynamics between the two sides and to continuously deepen structural reforms on the supply side.
"要加快补上内需特别是消费短板，使内需成为拉动经济增长的主动力和稳定锚
","The need to accelerate the supply of domestic demand, especially consumption, to make domestic demand a driving force and a stability pillar for economic growth."
"三是必须统筹好培育新动能和更新旧动能的关系，因地制宜发展新质生产力
","Third, we must coordinate the relationship between renewable energy and renewable old energy to develop new productivity."
"要以科技创新为引领，大力培育壮大新兴产业和未来产业，加快推动作为经济增长和就业收入基本依托的传统产业改造升级，推动新旧发展动能平稳接续转换
","To lead with technological innovation, to foster strong growth of emerging and future industries, to accelerate the upgrading of traditional industrial transformations as the basis of economic growth and employment, and to promote the smooth and continuous transformation of new and old development."
"四是必须统筹好做优增量和盘活存量的关系，全面提高资源配置效率
","Fourth, we must coordinate the relationship between optimum growth and live stock, and improve resource allocation efficiency."
"善于通过盘活存量来带动增量，统筹做优增量和盘活存量、管好资产和调整负债，拓展新的发展空间
","The company is also known for its ability to drive growth through live inventory, to consolidate growth and live inventory, to manage assets and adjust liabilities, and to expand new development space."
"五是必须统筹好提升质量和做大总量的关系，夯实中国式现代化的物质基础
","Five is that we must unify and improve the quality and make a big total relationship, building the material foundation of Chinese modernity."
"要坚持以质取胜和发挥规模效应相统一，把质的有效提升和量的合理增长统一于高质量发展的全过程
","To maintain the consistency of quality and scale effects, to bring the effective improvement of quality and the reasonable growth of quantity into line with the whole process of high-quality development."
"
",The first is
"  四川大凉山，曾经被称为“中国贫困的角落”
","The Great Sandhills of Sichuan, once known as the Poor Corners of China, are the most remote places in the world."
"
",The first is
"　　段誉正在整理试验笔记
",The first is that the test is not a test.
"新华社记者周勉 摄
",The news was reported by the news agency Xinhua.
"  稳中求进
","The first is the ""Straight""."
"深化农村改革，推动乡村全面振兴必须“稳”住的是“三农”基本盘，是守牢保障国家粮食安全、不发生规模性返贫致贫的两条底线
",The basic framework for deepening rural reforms and promoting rural comprehensive revitalization must be firmly anchored in the two baselines of the country's food security and non-scale poverty-to-poverty guidelines.
"
",The first is
"  刘丽丽建议，应加快制定相关标准体系，完善现有管理制度；提高技术和管理水平，提升我国在国际动力电池回收利用产业中的地位；加快建立科学有效的回收利用体系，从源头确保动力电池得以规范回收
","Juri suggested that the development of relevant standards systems be accelerated, the improvement of existing management systems; the improvement of technical and management levels, the uplift of China's position in the international recycling industry; the establishment of a scientifically effective recycling system to ensure that recycling can be regulated from the source."
"
",The first is
"  从未消失的鸽哨声　　整治后的前门草厂胡同院落
","The first was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East"" and the second was the ""From the East""."
"东城区委宣传部供图
",The East City Commission for Publicity provided pictures.
"“当初的不服气，如今变成了自豪
","The first time I was angry, I was proud of myself."
"”王彩云感慨道，“我们用努力，证明了中国人完全有能力掌握奶业核心技术，甚至做得更好
","Wang said that our efforts have proven that the Chinese are fully capable of mastering the core technologies of the dairy industry, and even do better."
"” 
",What is it?
"深耕于奶业，王彩云深感责任重大，她和她的团队围绕全产业链进行创新，形成“从一棵草到一杯奶、再到一块奶酪”的创新链路，在奶业关键核心技术上加快突破，提高自主创新能力，实现科技自强自立；在产业应用上高效转化，推动奶业精深加工项目做优做强，增强中国奶业核心竞争力
","Deeply engaged in dairy farming, Wang Wang-Yun feels a great responsibility to innovate around the entire industry chain, forming a chain of innovation from a grass to a glass of milk and cheese to a piece of cheese, accelerating breakthroughs in key core technologies in dairy, improving autonomous innovation capacity, achieving tech-driven autonomy; efficiently transforming industrial applications, driving refined dairy processing projects to be optimized, and strengthening China's core competitiveness."
"
",The first is
"　　约翰表示，亚足联将一如既往地支持中国举办更多亚足联旗下的赛事，甚至国际足联的赛事
","John said that the UFA will continue to support China in hosting more UFA-affiliated events, even the UFA-affiliated events."
"
",The first is
"  王彩云说，希望能通过自己的建议，推动实现乳品深加工技术的创新突破和产业化应用实践，助力乳业高质量发展
","Wang Wang said he hopes to promote the breakthroughs in the development of dairy deep processing technologies and industrial application practices through his suggestions, which will help the dairy sector develop in a high quality way."
"
",The first is
"  瞄准“做优” 以增量带动存量  南开大学中国式现代化发展研究院高级研究员薄文广认为，“盘活”的过程要有增量思维，让资源发挥出更大价值
","In order to increase the drive of inventory, Shen Wen-Gang, a senior researcher at the Institute of Chinese Modern Development at Nankai University, believes that the process of making the dishes live has to be increased thinking, so that resources can be used for greater value."
