zho,eng,jaccard
"  同日，“国社之镜·世纪光影”新华社新闻摄影展在香港举行
","On the same day, the Xiaoyuan Media Company's Mirror, Century Shadow and Xiaoyuan Media Company News Photography exhibition was held in Hong Kong.",0.2
"这些新华社摄影精品生动展现了新中国成立以来的历史变迁和伟大成就
",These photos from the Xinhua Agency showcase the historical changes and great achievements that have taken place since the founding of the new China.,0.42857142857142855
"开通仪式后，嘉宾们共同参观了摄影展
","After the opening ceremony, guests visited the photography exhibition together.",0.8
"  新华社客户端是海内外受众了解中国故事的“掌上门户”
",The Chinese news agency's client is a door-to-door audience that understands the Chinese story.,0.125
"此次上线开通的新华社客户端亚太频道，设有焦点、港澳、镜观、访谈等栏目，向广大受众提供高质量新闻信息服务，深入阐释中国理念、中国主张、中国方案，向受众展示真实、立体、全面的中国
","The Chinese-language Asia-Pacific channel, which is a Chinese-language client channel, with focus, Hong Kong, mirror images, interviews, and more, offers high-quality news information services to a wide audience, provides in-depth explanations of Chinese ideas, Chinese claims, and Chinese programs, and shows the audience the real, trivial, and holistic China.",0.7
"  中央人民政府驻香港特别行政区联络办公室秘书长王松苗表示，新华社是国家通讯社和具有全球影响力的世界级媒体，长期以来赢得了国内外受众的广泛赞誉
","Wang Tsun-mi, Secretary-General of the Liaison Office of the Central People's Government in Hong Kong's Special Administrative Region, said that Xinhua is a national news agency and a world-class media with global influence that has long won wide acclaim from audiences at home and abroad.",0.06666666666666667
"相信新华社客户端亚太频道必将成为服务国家大局、赋能由治及兴、讲好香港故事、传播中国声音、树立中国形象的又一重要平台
","I believe that the Asia-Pacific Channel, a Chinese company's client, will become a major national service, empowering governments and people to tell Hong Kong stories, spread Chinese voices, and build a Chinese image.",0.9
"
",The first is,0.25
"  会议还研究了其他事项
",The meeting also discussed other issues.,0.2
"  会议强调，今年是“十四五”规划收官之年，做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党的二十大和二十届二中、三中全会精神，按照中央经济工作会议部署，坚持稳中求进工作总基调，完整准确全面贯彻新发展理念，加快构建新发展格局，扎实推动高质量发展，进一步全面深化改革，扩大高水平对外开放，建设现代化产业体系，更好统筹发展和安全，实施更加积极有为的宏观政策，扩大国内需求，推动科技创新和产业创新融合发展，稳住楼市股市，防范化解重点领域风险和外部冲击，稳定预期、激发活力，推动经济持续回升向好，不断提高人民生活水平，保持社会和谐稳定，高质量完成“十四五”规划目标任务，为实现“十五五”良好开局打牢基础
","The meeting emphasized that this is the year of the 14th and 15th Planning and Administration, and that the government should work hard under the strong leadership of the Party Central, with comrade Xi Jinping at the heart, to guide the Chinese characteristic socialist ideas of Xi Jinping's new era, to fully implement the spirit of the Party's 20th and 20th Second and Third Central Conferences, to fully implement the general framework of the Central Economic Working Conference, to stick to the principles of stability and progress, to fully and accurately implement the new development ideas, to accelerate the construction of new development patterns, to consolidate high-quality development, further deepen the reforms, to expand the high level of open access to the outside world, to build a modern industrial system, better unified and secure development, to implement the macro-economic mission policy, to expand the needs of the people, to promote innovation and industrial integration, to stabilize the building, to dismantle the quality of life and the objectives of the five main areas of the economy, to strengthen the five key areas of the economy, to strengthen the five key areas of the economy, to maintain the five key areas of the economy, to strengthen the five key areas of the economy, to strengthen the five key areas of the economy, to strengthen the promotion of the economy, to strengthen the promotion of the economy, and to strengthen the promotion of the development of the economy, and to maintain the development of the five key areas of the economy.",0.038461538461538464
"
",The first is,0.25
"  王毅参加会见
",Wang Yi attended the meeting.,0.2
"  绍伊古转达普京总统对习近平主席的亲切问候，表示普京总统高度珍视同习近平主席的真挚友谊和密切联系
","President Shoggyun-Geng received warm greetings from President Xi Jinping, saying that the President highly values the genuine friendship and close ties with President Xi Jinping.",0.08333333333333333
"俄中关系处于前所未有的高水平，不针对任何第三方
","Russia-China relations are at an unprecedented high level, not targeting any third party.",1.0
"俄中组合在世界上发挥了重要作用，树立了大国关系典范
","The Russian-Chinese combination has played a significant role in the world, setting a model for great-power relations.",0.8888888888888888
"俄中始终相互信任、平等对话，两国战略合作符合双方共同利益
","Russia has always maintained mutual trust, equal dialogue and strategic cooperation in the interests of both sides.",0.5
"俄方将切实落实两国元首达成的重要共识，坚定不移加强对华合作
",Russia will implement the important consensus reached by the two leaders and will firmly strengthen cooperation with China.,0.7777777777777778
"中方一直积极推动乌克兰危机和平解决，俄方对此深表赞赏
","China has been actively promoting a peaceful resolution of the Ukrainian crisis, which Russia deeply appreciates.",0.5555555555555556
"
",The first is,0.25
"  文章指出，经济工作千头万绪，必须统筹好几对重要关系
",The article notes that economic work is in full swing and that several important relationships must be coordinated.,0.1111111111111111
"一是必须统筹好有效市场和有为政府的关系，形成既“放得活”又“管得住”的经济秩序
",One is to unify effective markets and governmental relations to create an economic order that is both vibrant and resilient.,0.6666666666666666
"政府要有所为、有所不为，解决好缺位、越位问题
","The government has to do something, not do something, to solve the gaps, the problems.",0.7142857142857143
"政府行为越规范，市场作用就越有效
","The more normative the government's behavior, the more effective the market will be.",0.625
"二是必须统筹好总供给和总需求的关系，畅通国民经济循环
",The second is that we must unify the relationship between total supply and total demand and bridge the national economic cycle.,0.45454545454545453
"要坚持供需两侧协同发力、动态平衡，持续深化供给侧结构性改革
",The key is to maintain a balance of power and dynamics between the two sides and to continuously deepen structural reforms on the supply side.,0.4
"要加快补上内需特别是消费短板，使内需成为拉动经济增长的主动力和稳定锚
","The need to accelerate the supply of domestic demand, especially consumption, to make domestic demand a driving force and a stability pillar for economic growth.",0.4
"三是必须统筹好培育新动能和更新旧动能的关系，因地制宜发展新质生产力
","Third, we must coordinate the relationship between renewable energy and renewable old energy to develop new productivity.",0.8571428571428571
"要以科技创新为引领，大力培育壮大新兴产业和未来产业，加快推动作为经济增长和就业收入基本依托的传统产业改造升级，推动新旧发展动能平稳接续转换
","To lead with technological innovation, to foster strong growth of emerging and future industries, to accelerate the upgrading of traditional industrial transformations as the basis of economic growth and employment, and to promote the smooth and continuous transformation of new and old development.",0.5454545454545454
"四是必须统筹好做优增量和盘活存量的关系，全面提高资源配置效率
","Fourth, we must coordinate the relationship between optimum growth and live stock, and improve resource allocation efficiency.",0.8571428571428571
"善于通过盘活存量来带动增量，统筹做优增量和盘活存量、管好资产和调整负债，拓展新的发展空间
","The company is also known for its ability to drive growth through live inventory, to consolidate growth and live inventory, to manage assets and adjust liabilities, and to expand new development space.",0.7142857142857143
"五是必须统筹好提升质量和做大总量的关系，夯实中国式现代化的物质基础
","Five is that we must unify and improve the quality and make a big total relationship, building the material foundation of Chinese modernity.",0.5454545454545454
"要坚持以质取胜和发挥规模效应相统一，把质的有效提升和量的合理增长统一于高质量发展的全过程
","To maintain the consistency of quality and scale effects, to bring the effective improvement of quality and the reasonable growth of quantity into line with the whole process of high-quality development.",0.5
"
",The first is,0.25
"  王彩云说，希望能通过自己的建议，推动实现乳品深加工技术的创新突破和产业化应用实践，助力乳业高质量发展
","Wang Wang said he hopes to promote the breakthroughs in the development of dairy deep processing technologies and industrial application practices through his suggestions, which will help the dairy sector develop in a high quality way.",0.058823529411764705
"
",The first is,0.25
"　　普京本周早些时候说，俄方愿意邀请美国参与开发俄罗斯矿产资源
","Earlier this week, Putin said that Russia was willing to invite the United States to participate in the development of Russian mineral resources.",0.08333333333333333
"俄总统新闻秘书德米特里·佩斯科夫说，双方可以联手开发北极地区自然资源
","Russian President Dmitry Peskov, the press secretary, said that the two sides could work together to develop the Arctic's natural resources.",0.8
"（胡若愚）
",(Sighs),1.0
"在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
","With the push for deepening reform and innovation, East Wind Cars continues to stimulate the dynamism of development and improve the efficiency of organizational operations.",0.7777777777777778
"公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
","The company has been continuously improving its competitiveness and market position by strengthening its autonomous R&D, optimizing its product structure, expanding its overseas markets, and more.",0.6666666666666666
"同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
","At the same time, East Wind also focuses on talent development and team building, creating a high-quality, professional team.",0.875
"这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
","The team, with its innovative thinking and rigorous approach, continues to drive the development of East Wind through its own efforts.",0.7777777777777778
"（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
","In addition to the four-part Jump-Up series of actions, East Wind also focuses on deepening internal management reform and innovation.",0.7777777777777778
"公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
","The company improves its operational efficiency and management by optimizing its organizational structure, improving governance, strengthening talent and team building.",0.7
"同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
","At the same time, East Wind Automobile also focuses on building corporate culture and values to lead, creating a positive corporate atmosphere and cultural environment.",1.0
"在零部件领域，东风汽车实施了“跃创工程”
","In the area of parts, East Wind Car has implemented a leapfrog engineering project.",0.7142857142857143
"公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
","The company has improved the quality and performance of its parts by strengthening its R&D and production inputs, optimizing supply chain management and other ways.",0.7777777777777778
"同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
","At the same time, East Wind also focuses on the international development of parts, promoting the sale and service of parts in global markets.",0.7
"在商用车领域，东风汽车实施了“跃升工程”
","In the commercial vehicle sector, East Wind Cars has implemented a leap-and-leap engineering pipeline.",0.8571428571428571
"公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
","The company is increasing its competitiveness in the commercial vehicle market by optimizing product structure, improving product quality and service equality.",0.7777777777777778
"在自主研发方面，东风汽车实施了“跃动工程”
","In terms of autonomous development, East Wind Car has implemented a jumping engineered boom.",0.75
"公司通过加强自主研发团队建设、加大研发投入等方式，提升自主研发能力和水平
","The company is improving its R&D capabilities and levels by building more autonomous R&D teams, increasing R&D inputs, and more.",0.75
"同时，东风汽车还注重技术创新和成果转化，将研发成果转化为实际生产力，推动公司的快速发展
","At the same time, East Wind Automotive is also focusing on technological innovation and transformation of results, transforming R&D results into actual productivity, and driving the company's rapid development.",1.0
"在新能源领域，东风汽车实施了“跃迁行动”
","In the field of new energy, East Wind Car has implemented a jump-start action plan.",0.75
"公司通过加大新能源汽车的研发和生产投入，推动新能源汽车产业的快速发展
",The company is promoting the rapid development of the new energy vehicle industry by increasing its R&D and production investment in new energy vehicles.,0.6666666666666666
"不断引进和吸收先进技术和管理经验，提升新能源汽车的技术水平和市场竞争力
",The company is continuously introducing and absorbing advanced technology and management experience to improve the technical level and market competitiveness of new energy vehicles.,0.5555555555555556
"
",The first is,0.25
"在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
","With the push for deepening reform and innovation, East Wind Cars continues to stimulate the dynamism of development and improve the efficiency of organizational operations.",0.7777777777777778
"公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
","The company has been continuously improving its competitiveness and market position by strengthening its autonomous R&D, optimizing its product structure, expanding its overseas markets, and more.",0.6666666666666666
"同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
","At the same time, East Wind also focuses on talent development and team building, creating a high-quality, professional team.",0.875
"这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
","The team, with its innovative thinking and rigorous approach, continues to drive the development of East Wind through its own efforts.",0.7777777777777778
"（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
","In addition to the four-part Jump-Up series of actions, East Wind also focuses on deepening internal management reform and innovation.",0.7777777777777778
"公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
","The company improves its operational efficiency and management by optimizing its organizational structure, improving governance, strengthening talent and team building.",0.7
"同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
","At the same time, East Wind Automobile also focuses on building corporate culture and values to lead, creating a positive corporate atmosphere and cultural environment.",1.0
"在零部件领域，东风汽车实施了“跃创工程”
","In the area of parts, East Wind Car has implemented a leapfrog engineering project.",0.7142857142857143
"公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
","The company has improved the quality and performance of its parts by strengthening its R&D and production inputs, optimizing supply chain management and other ways.",0.7777777777777778
"同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
","At the same time, East Wind also focuses on the international development of parts, promoting the sale and service of parts in global markets.",0.7
"在商用车领域，东风汽车实施了“跃升工程”
","In the commercial vehicle sector, East Wind Cars has implemented a leap-and-leap engineering pipeline.",0.8571428571428571
"公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
","The company is increasing its competitiveness in the commercial vehicle market by optimizing product structure, improving product quality and service equality.",0.7777777777777778
"在自主研发方面，东风汽车实施了“跃动工程”
","In terms of autonomous development, East Wind Car has implemented a jumping engineered boom.",0.75
"公司通过加强自主研发团队建设、加大研发投入等方式，提升自主研发能力和水平
","The company is improving its R&D capabilities and levels by building more autonomous R&D teams, increasing R&D inputs, and more.",0.75
"同时，东风汽车还注重技术创新和成果转化，将研发成果转化为实际生产力，推动公司的快速发展
","At the same time, East Wind Automotive is also focusing on technological innovation and transformation of results, transforming R&D results into actual productivity, and driving the company's rapid development.",1.0
"在新能源领域，东风汽车实施了“跃迁行动”
","In the field of new energy, East Wind Car has implemented a jump-start action plan.",0.75
"公司通过加大新能源汽车的研发和生产投入，推动新能源汽车产业的快速发展
",The company is promoting the rapid development of the new energy vehicle industry by increasing its R&D and production investment in new energy vehicles.,0.6666666666666666
"不断引进和吸收先进技术和管理经验，提升新能源汽车的技术水平和市场竞争力
",The company is continuously introducing and absorbing advanced technology and management experience to improve the technical level and market competitiveness of new energy vehicles.,0.5555555555555556
"深化改革创新是东风汽车发展的动力源泉
",Deep reform and innovation are the driving force behind the development of East Wind vehicles.,0.5
"在激烈的市场竞争中，东风汽车深知只有不断改革和创新，才能保持企业的竞争力和活力
","In the face of fierce market competition, East Wind Motor knows that only constant reform and innovation can keep the company competitive and dynamic.",0.7
"因此，公司实施了一系列深化改革创新的举措，激发了发展活力，提高了组织运营效率
","As a result, the company has implemented a series of initiatives to deepen reform and innovation, stimulating growth and improving operational efficiency.",0.75
"深化改革创新，激发发展活力随着全球化的深入发展，东风汽车也积极拓展海外市场，提升全球影响力
",The company is also actively expanding its overseas market and increasing its global influence.,0.4
"公司通过与多家全球头部企业的合作和交流，不断引进和吸收先进技术和管理经验，提升自身的国际竞争力
","The company has been increasing its international competitiveness through its collaboration and exchanges with several of the world's leading companies, continuously introducing and absorbing advanced technology and management experience.",0.6363636363636364
"同时，东风汽车还加强海外市场的布局和拓展，推动产品在全球市场的销售和服务
","At the same time, East Wind Motor also strengthens its overseas market layout and expansion, driving sales and service of its products in global markets.",0.7
"目前，东风汽车的产品已经覆盖全球多个国家和地区，赢得了广泛的市场认可和用户好评
","Currently, East Wind's products have been sold in many countries and regions around the world, gaining wide market recognition and user appreciation.",0.6666666666666666
"在品牌建设过程中，东风汽车还注重提升产品质量和服务水平
","In the process of building the brand, East Wind also focuses on improving the quality of products and service levels.",0.6
"公司通过引进先进的管理理念和技术手段，不断优化生产流程和质量管理体系，确保产品质量的稳定性和可靠性
",The company continuously optimizes production processes and quality management systems to ensure the stability and reliability of product quality by introducing advanced management concepts and techniques.,0.75
"同时，东风汽车还加强售后服务体系建设，为用户提供更加便捷、高效的服务体验
","At the same time, East Wind also strengthened the after-sales service system to provide users with a more convenient and efficient service experience.",0.875
"这些举措的实施，不仅提升了用户对东风品牌的满意度和忠诚度，也为东风汽车在全球市场的竞争提供了有力保障
","The implementation of these initiatives has not only increased the satisfaction and loyalty of the users to the East Wind brand, but also provided strong guarantees for the competitiveness of East Wind in the global market.",0.7
"为了提升品牌知名度，东风汽车举办了一系列重大活动
","In order to increase the brand's reputation, East Wind Motor has organized a series of major events.",0.6666666666666666
"如新车下线庆典、科技创新周等，这些活动不仅展示了东风汽车的实力和技术成果，也增强了用户对东风品牌的认知和信任
","New car launches, technology innovation week and more, not only showcase the power and technological achievements of the East Wind, but also increase the awareness and trust of the East Wind brand.",0.6363636363636364
"同时，东风汽车还积极登上主流媒体舞台，通过广告宣传、公益活动等方式，扩大品牌影响力，让更多人了解并认可东风品牌
","At the same time, East Wind Cars is also actively taking the mainstream media stage, expanding its brand influence through advertising, public interest activities, and more people to understand and recognize East Wind.",0.8181818181818182
"品牌建设是东风汽车发展的重要支撑
",Brand building is an important support for the development of East Wind cars.,0.6
"在激烈的市场竞争中，东风汽车深知品牌建设的重要性，因此制定了明确的品牌发展规划，致力于成为为用户提供优质汽车产品和服务的卓越科技企业
","In the face of fierce market competition, East Wind Automotive is well aware of the importance of brand building and has developed a clear brand development plan to become a leading technology company that provides quality automotive products and services to its customers.",0.6666666666666666
"品牌建设升级，提升全球影响力在科技创新的引领下，东风汽车不断打造自身的核心竞争力
","With the upgrading of the brand and the increase of global influence, and the development of technological innovation, East Wind continues to build its core competitiveness.",0.45454545454545453
"公司通过加大研发投入、引进先进技术、加强国际合作等方式，不断提升自身的研发能力和技术水平
","The company is continuously improving its R&D capabilities and technical level by increasing R&D investments, introducing advanced technologies, strengthening international cooperation, and more.",0.7777777777777778
"同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的研发团队
","At the same time, East Wind also focused on talent development and team building, creating a high-quality, professional R&D team.",0.875
"这支团队以创新的思维和严谨的态度，不断攻克技术难题，为东风汽车的发展提供了有力支持
","The team, with its innovative thinking and rigorous approach, continues to tackle technical challenges and provides strong support for the development of the East Wind car.",0.5833333333333334
"此外，东风汽车还注重车路云一体化的研发和应用
","In addition, East Wind Automotive is focusing on the research and development and application of road cloud integration.",0.5454545454545454
"通过与地方政府、通信企业等合作，东风汽车推动车路云一体化技术的落地实施，为智能交通系统的发展提供了有力支撑
","By working with local governments and communications companies, East Wind Automotive is promoting the deployment of road cloud integration technology to provide strong support for the development of smart transport systems.",0.5833333333333334
"这一技术的应用，不仅提高了道路交通的效率和安全性，也为东风汽车在智能网联汽车领域的布局提供了有力保障
","The use of this technology has not only improved the efficiency and safety of road transport, but also provided a strong guarantee for the layout of East Wind in the field of smart grid connected vehicles.",0.5384615384615384
"除了新能源技术的研发，东风汽车还加速智能化发展，积极拥抱未来出行的新趋势
","In addition to the development of new energy technologies, East Wind also accelerates its development in intelligence and actively embraces new trends in the future.",0.7
"公司发布了智能品牌，致力于为用户提供更加智能、便捷的出行体验
","The company has launched a smart brand dedicated to providing users with a smarter, more convenient travel experience.",0.6363636363636364
"在智能座舱方面，东风汽车通过引入人工智能、大数据等技术，实现了座舱的个性化定制和智能化服务
","In terms of smart seats, East Wind has achieved personalized customization and intelligent services for the seats by introducing technologies such as AI, big data and more.",0.8
"用户可以根据自己的喜好和需求，调整座舱的布局和功能，享受更加舒适的驾驶体验
",The user can adjust the layout and function of the cab according to their preferences and needs and enjoy a more comfortable driving experience.,0.8571428571428571
"在自动驾驶方面，东风汽车积极研发自动驾驶技术，推动自动驾驶汽车的商业化应用
","In the area of autonomous driving, East Wind Motor has been actively developing autonomous driving technologies to promote the commercialisation of autonomous vehicles.",1.0
"通过与高校、科研机构的合作，东风汽车不断突破技术瓶颈，提高自动驾驶汽车的安全性和可靠性
","Through collaboration with universities and research institutions, East Wind Cars continues to break the technological bottleneck and improve the safety and reliability of self-driving cars.",0.7
"
",The first is,0.25
"  生命的力量，是患者与医者共同书写的奇迹
",The power of life is a miracle written by patients and doctors together.,0.125
"面对前行道路上的荆棘，只要心中有光，脚下有路，生命的奇迹就永远不会停止绽放
","The thorn in the side of the road that leads to the future, as long as there is light in the heart, a path under the feet, the miracles of life will never cease to flow.",0.4
"  “梦虽遥，追则能达；愿虽艰，持则可圆
","Though a dream be far off, it shall be pursued; though it be hard, it shall be pursued.",0.125
"”穿梭在国际罕见病日多个活动现场，那些医患间的信任与托付，让记者不断回味着张抒扬院长的话语
",The presence of the renowned doctors and the trust and support that they have given to the media has made the media constantly echo the words of the director Zhang Zhaoyang.,0.46153846153846156
"
",The first is,0.25
"　　《实施意见》提出了实施生态环境领域科技创新五大行动
",The Commission has proposed five initiatives to implement scientific and technological innovation in the field of ecological environment.,0.1
